Localization Source Configuration,,,,
A small example for easy_localization,,,,
key,nested_key,en,de,#description
app_title,,My Awesome App,Meine tolle App,Any note for translator here
,,,,
#args,,,,
msg_args,,"Welcome {}, you have {} new views.","Willkommen {}, Sie haben {} neue Aufrufe.",
msg_named_args,,Hello {name}! Your role is {role}.,Hallo {name}! Ihre Rolle ist {role}.,
,,,,
#linked,,,,
so_link_facebook,,Facebook,Facebook,
msg_login_with,,Login via @:so_link_facebook,Anmelden qua @:so_link_facebook,
,,,,
#plural,,,,
money_apple,zero,You have no apples,Sie haben keine Äpfel,
,one,You have {} apple,Sie haben {} Apfel,
,other,You have {} apples,Sie haben {} Äpfel,
,,,,
gender_invite,male,He invites you to his party.,Er lädt dich zu seiner Party ein.,
,female,She invites you to her party.,Sie lädt dich zu ihrer Party ein.,
,other,They invite you to their party.,Sie laden dich zu ihrer Party ein.,
